geonlp_id,entry_id,prefix,prefix_kana,body,body_kana,suffix,suffix_kana,ne_class,latitude,longitude
"Zj8cGr","1840",,,"モザンビーク","モザンビーク","共和国/","キョウワコク/","国","-25.97","32.57"
"Hf75ou","1850",,,"モナコ","モナコ","公国/","コウコク/","国","43.75","7.42"
"pb5Y6x","1860",,,"モーリシャス","モーリシャス","共和国/","キョウワコク/","国","-20.17","57.5"
"774QOA","1870",,,"モーリタニア","モーリタニア","イスラム共和国/","イスラムキョウワコク/","国","18.08","-15.98"
"P33JwD","1880",,,"モルディブ","モルディブ","共和国/","キョウワコク/","国","4.17","73.51"
"wZ2CeG","1890",,,"モルドバ","モルドバ","共和国/","キョウワコク/","国","47","28.92"
"eV1uWJ","1900",,,"モロッコ","モロッコ","王国/","オウコク/","国","34.02","-6.83"
"WR0nEM","1910",,,"モンゴル","モンゴル","国/","コク/","国","47.9","106.92"
"EMZgmP","1920",,,"モンテネグロ","モンテネグロ",,,"国","42.44","19.27"
"mIY94S","1930",,,"ヨルダン","ヨルダン","ハシェミット王国/","ハシェミットオウコク/","国","31.95","35.93"
"4EX1MV","1940",,,"ラオス","ラオス","人民民主共和国/","ジンミンミンシュキョウワコク/","国","17.96","102.61"
"MAVUuY","1950",,,"ラトビア","ラトビア","共和国/","キョウワコク/","国","56.95","24.09"
"uwUNd1","1960",,,"リトアニア","リトアニア","共和国/","キョウワコク/","国","54.68","25.28"
"csTFV4","1970",,,"リビア","リビア",,,"国","32.88","13.19"
"UoSyD7","1980",,,"リヒテンシュタイン","リヒテンシュタイン","公国/","コウコク/","国","47.15","9.53"
"CkRrla","1990",,,"リベリア","リベリア","共和国/","キョウワコク/","国","6.3","-10.8"
"kgQk3d","2000",,,"ルクセンブルク","ルクセンブルク","大公国/","タイコウコク/","国","49.83","6.06"
"2cPcLg","2010",,,"ルーマニア","ルーマニア",,,"国","44.45","26.1"
"K8O5tj","2020",,,"ルワンダ","ルワンダ","共和国/","キョウワコク/","国","-1.95","30.06"
"s4MYbm","2030",,,"レソト","レソト","王国/","オウコク/","国","-29.31","27.49"
"a0LQTp","2040",,,"レバノン","レバノン","共和国/","キョウワコク/","国","33.89","35.51"
"RWKJBs","2050",,,"ロシア","ロシア","連邦/","レンポウ/","国","55.76","37.62"
"zSJCjv","2060",,,"日本","ニッポン","国/","コク/","国","35.69","139.65"
"hOIv1y","10000",,,"イギリス","イギリス",,,"国","51.5","-0.13"
"ZKHnJB","10010",,,"中国","チュウゴク",,,"国","39.91","116.4"
"HGGgrE","10020",,,"韓国","カンコク",,,"国","37.53","126.96"
"pCF99H","10030","/北","/キタ","朝鮮","チョウセン","民主主義人民共和国/","ミンシュシュギジンミンキョウワコク/","国","39.03","125.75"
"7yE1RK","10040",,,"台湾","タイワン",,,"国/地域","25.04","121.50"
"PuCUzN","10050",,,"ニウェ",,,,"国/自治区","-19.01","-169.92"
"xqBNhQ","10060",,,"パレスチナ","パレスチナ","自治政府/","ジチセイフ/","国/自治区","31.93","34.87"
"fmAFZT","10070",,,"香港","ホンコン",,,"国/自治区","22.38","114.16"
"XizyHW","10080",,,"マカオ","マカオ",,,"国/自治区","22.19","113.54"
