geonlp_id,entry_id,body,body_kana,hypernym,ne_class,latitude,longitude,県コード,水系コード,河川コード,区間種別
"XZUn8U","383801170022","鞍瀬川",,"愛媛県/中山川","河川湖沼/河川","33.78987972","133.04325083","38","380117","3801170022","3"
"FVTfQX","383801180000","風呂が谷川",,"愛媛県/前神寺谷川","河川湖沼/河川","33.89447722","133.18523944","38","380118","3801180000","0"
"nRS8z0","383801180001","前神寺谷川",,"愛媛県","河川湖沼/河川","33.89006374","133.15666205","38","380118","3801180001","3"
"5NR1h3","383801190000","イノウチ川","イノウチガワ","愛媛県/加茂川","河川湖沼/河川","33.82381803","133.15795021","38","380119","3801190000","0"
"NJPTZ6","383801190001","加茂川","カモガワ","愛媛県","河川湖沼/河川","33.83235772","133.13410209","38","380119","3801190001","3"
"vFOMH9","383801190002","市之川",,"愛媛県/加茂川","河川湖沼/河川","33.88929389","133.19172167","38","380119","3801190002","3"
"dBNFpc","383801190003","谷川",,"愛媛県/加茂川","河川湖沼/河川","33.83064219","133.2306931","38","380119","3801190003","3"
"VxMy7f","383801190004","吉井川",,"愛媛県/加茂川","河川湖沼/河川","33.84767861","133.24400028","38","380119","3801190004","4"
"DtLqPi","383801190005","柳谷川",,"愛媛県/加茂川","河川湖沼/河川","33.85922667","133.13349528","38","380119","3801190005","4"
"lpKjxl","383801190007","加茂川","カモガワ","愛媛県/加茂川","河川湖沼/河川","33.82381355","133.1225533","38","380119","3801190007","3"
"3lJcfo","383801190008","老ノ川",,"愛媛県/加茂川","河川湖沼/河川","33.80359528","133.10402028","38","380119","3801190008","3"
"LhI4Xr","383801190009","東谷川",,"愛媛県/加茂川","河川湖沼/河川","33.80636756","133.1787478","38","380119","3801190009","3"
"tdGXFu","383801190010","御燈谷川",,"愛媛県/加茂川","河川湖沼/河川","33.80242966","133.15435038","38","380119","3801190010","3"
"b9FQnx","383801200000","小河谷川",,"愛媛県/渦井川","河川湖沼/河川","33.90432833","133.2692625","38","380120","3801200000","0"
"T5EJ5A","383801200001","渦井川",,"愛媛県","河川湖沼/河川","33.88095432","133.26235332","38","380120","3801200001","3"
"B1DBND","383801200002","室川",,"愛媛県/渦井川","河川湖沼/河川","33.91805833","133.21409583","38","380120","3801200002","3"
"iXCuvG","383801200003","界谷川",,"愛媛県/渦井川","河川湖沼/河川","33.91871194","133.19999556","38","380120","3801200003","3"
"0TBndJ","383801200005","金剛院谷川",,"愛媛県/渦井川","河川湖沼/河川","33.90537758","133.2003967","38","380120","3801200005","3"
"IPAfVM","383801200006","浪多川",,"愛媛県/渦井川","河川湖沼/河川","33.92346306","133.21862139","38","380120","3801200006","3"
"qLz8DP","383801200008","桜川",,"愛媛県/渦井川","河川湖沼/河川","33.91252995","133.24695481","38","380120","3801200008","3"
"8Hy1lS","383801200009","徳右衛門川",,"愛媛県/渦井川","河川湖沼/河川","33.91043611","133.25111056","38","380120","3801200009","4"
"QDwU3V","383801210000","小女郎谷川",,"愛媛県/王子川","河川湖沼/河川","33.94691722","133.26852056","38","380121","3801210000","0"
"yzvMLY","383801210001","王子川",,"愛媛県","河川湖沼/河川","33.94992083","133.26488667","38","380121","3801210001","3"
"gvuFu1","383801220000","芳谷川",,"愛媛県","河川湖沼/河川","33.93484167","133.26132111","38","380122","3801220000","0"
"Yrtyc4","383801220001","東川",,"愛媛県","河川湖沼/河川","33.94004306","133.28084278","38","380122","3801220001","3"
"GnsqU7","383801220002","西河川",,"愛媛県","河川湖沼/河川","33.92645139","133.26808083","38","380122","3801220002","3"
"ojrjCa","383801220003","北河川",,"愛媛県","河川湖沼/河川","33.93039","133.26611361","38","380122","3801220003","3"
"6fqckd","383801230001","尻無川",,"愛媛県","河川湖沼/河川","33.91420111","133.28705611","38","380123","3801230001","3"
"Obp52g","383801230002","深谷川",,"愛媛県","河川湖沼/河川","33.91919222","133.29697833","38","380123","3801230002","3"
"w7nXKj","383801240000","西谷川",,"愛媛県/国領川","河川湖沼/河川","33.89812005","133.32484702","38","380124","3801240000","0"
"e3mQsm","383801240001","国領川",,"愛媛県","河川湖沼/河川","33.91844229","133.31119857","38","380124","3801240001","3"
"VZlJap","383801240002","市場川",,"愛媛県/国領川","河川湖沼/河川","33.91838628","133.36070576","38","380124","3801240002","3"
"DVkBSs","383801240003","真谷川",,"愛媛県/国領川","河川湖沼/河川","33.94445611","133.347375","38","380124","3801240003","3"
"lRjuAv","383801240004","客谷川",,"愛媛県/国領川","河川湖沼/河川","33.91634082","133.34970692","38","380124","3801240004","3"
"3Niniy","383801240005","種子川",,"愛媛県/国領川","河川湖沼/河川","33.89885139","133.33286694","38","380124","3801240005","3"
"LJhg0B","383801240006","小女郎川",,"愛媛県/国領川","河川湖沼/河川","33.88469639","133.31508722","38","380124","3801240006","3"
"tFg8IE","383801240007","唐谷川",,"愛媛県/国領川","河川湖沼/河川","33.87323484","133.32942655","38","380124","3801240007","3"
"bBf1qH","383801240008","寛永谷川",,"愛媛県/国領川","河川湖沼/河川","33.86848007","133.32117577","38","380124","3801240008","3"
"TxdU8K","383801240009","西鈴尾谷川",,"愛媛県/国領川","河川湖沼/河川","33.84553917","133.29610472","38","380124","3801240009","3"
"BtcMQN","383801240010","東鈴尾谷川",,"愛媛県/国領川","河川湖沼/河川","33.83925985","133.29744969","38","380124","3801240010","3"
"jpbFyQ","383801240011","中鈴尾谷川",,"愛媛県/国領川","河川湖沼/河川","33.8390891","133.2958372","38","380124","3801240011","3"
"1laygT","383801240012","土山谷川",,"愛媛県/国領川","河川湖沼/河川","33.8549085","133.29077551","38","380124","3801240012","3"
"Jh9qYW","383801250001","落神川",,"愛媛県","河川湖沼/河川","33.96689917","133.32121056","38","380125","3801250001","3"
"rd8jGZ","383801260001","又野川",,"愛媛県","河川湖沼/河川","33.97024639","133.32807778","38","380126","3801260001","3"
"997cp2","383801270000","東谷川",,"愛媛県","河川湖沼/河川","33.96094702","133.38826569","38","380127","3801270000","0"
"R56575","383801270001","阿島川",,"愛媛県","河川湖沼/河川","33.96529944","133.36978917","38","380127","3801270001","3"
"z14XP8","383801270002","西之郷川",,"愛媛県","河川湖沼/河川","33.96431306","133.35497944","38","380127","3801270002","4"
