geonlp_id,entry_id,body,suffix,body_kana,suffix_kana,fullname,fullname_kana,hypernym,ne_class,latitude,longitude,state_code,city_code,種別,設置者,管理者,運用時間（開始）,運用時間（終了）,滑走路長さ,滑走路幅
"uhhaOX","sf53","北大東","空港/","キタダイトウ","クウコウ/","北大東空港","キタダイトウクウコウ","沖縄県/島尻郡/北大東村","航空施設/空港","25.944722","131.326944","47","47358","空港整備法に基づく第三種空港","5","5","0800","1800","1500","45"
"cdg3x0","sf54","南大東","空港/","ミナミダイトウ","クウコウ/","南大東空港","ミナミダイトウクウコウ","沖縄県/島尻郡/南大東村","航空施設/空港","25.846667","131.263611","47","47357","空港整備法に基づく第三種空港","5","5","0800","1800","1500","45"
"U9eWf3","sf55","伊江島","空港/","イエジマ","クウコウ/","伊江島空港","イエジマクウコウ","沖縄県/国頭郡/伊江村","航空施設/空港","26.7225","127.786944","47","47315","空港整備法に基づく第三種空港","5","5","0900","1700","1500","45"
"C5dOX6","sf56","久米島","空港/","クメジマ","クウコウ/","久米島空港","クメジマクウコウ","沖縄県/島尻郡/久米島町","航空施設/空港","26.363611","126.713889","47","47361","空港整備法に基づく第三種空港","5","5","0800","1930","2000","45"
"k1cHF9","sf57","宮古","空港/","ミヤコ","クウコウ/","宮古空港","ミヤコクウコウ","沖縄県/宮古島市","航空施設/空港","24.782778","125.295","47","47214","空港整備法に基づく第三種空港","5","5","0800","2100","2000","45"
"1XbAnc","sf58","下地島","空港/","シモジシマ","クウコウ/","下地島空港","シモジシマクウコウ","沖縄県/宮古島市","航空施設/空港","24.826667","125.144722","47","47214","空港整備法に基づく第三種空港","5","5","0730","2030","3000","60"
"JTat5f","sf59","波照間","空港/","ハテルマ","クウコウ/","波照間空港","ハテルマクウコウ","沖縄県/八重山郡/竹富町","航空施設/空港","24.059557","123.805462","47","47381","空港整備法に基づく第三種空港","5","5","0800","1800","800","25"
"rP9lNi","sf60","与那国","空港/","ヨナグニ","クウコウ/","与那国空港","ヨナグニクウコウ","沖縄県/八重山郡/与那国町","航空施設/空港","24.4675","122.979722","47","47382","空港整備法に基づく第三種空港","5","5","0800","1800","1500","45"
"9L8evl","sf61","多良間","空港/","タラマ","クウコウ/","多良間空港","タラマクウコウ","沖縄県/宮古郡/多良間村","航空施設/空港","24.653889","124.675278","47","47375","空港整備法に基づく第三種空港","5","5","0800","1800","1500","45"
"RH77do","sf62","松本","空港/","マツモト","クウコウ/","松本空港","マツモトクウコウ","長野県/松本市","航空施設/空港","36.166667","137.922778","20","20202","空港整備法に基づく第三種空港","5","5","0900","1700","2000","45"
"zD5ZVr","sf63","能登","空港/","ノト","クウコウ/","能登空港","ノトクウコウ","石川県/輪島市","航空施設/空港","37.293333","136.962222","17","17204","空港整備法に基づく第三種空港","5","5","0800","1930","2000","45"
"hz4SDu","sf64","富山","空港/","トヤマ","クウコウ/","富山空港","トヤマクウコウ","富山県/富山市","航空施設/空港","36.648333","137.1875","16","16201","空港整備法に基づく第三種空港","5","5","0700","2130","2000","45"
"Zv3Llx","sf65","小松","飛行場/","コマツ","ヒコウジョウ/","小松飛行場","コマツヒコウジョウ","石川県/小松市","航空施設/空港","36.393889","136.4075","17","17203","自衛隊、米軍との共用飛行場","2","2","0730","2130","2700","45"
"Hr2E3A","sf66","福井","空港/","フクイ","クウコウ/","福井空港","フクイクウコウ","福井県/坂井市","航空施設/空港","36.142778","136.223889","18","18210","空港整備法に基づく第三種空港","5","5","0900","1700","1200","30"
"pn1wLD","sf67","但馬","飛行場/","タジマ","ヒコウジョウ/","但馬飛行場","タジマヒコウジョウ","兵庫県/豊岡市","航空施設/空港","35.512778","134.786944","28","28209","その他の公共飛行場","5","5","0830","1830","1200","30"
"7j0ptG","sf68","鳥取","空港/","トットリ","クウコウ/","鳥取空港","トットリクウコウ","鳥取県/鳥取市","航空施設/空港","35.53","134.165","31","31201","空港整備法に基づく第三種空港","5","5","0700","2130","2000","45"
"PeZibJ","sf69","岡山","空港/","オカヤマ","クウコウ/","岡山空港","オカヤマクウコウ","岡山県/岡山市","航空施設/空港","34.756944","133.855278","33","33201","空港整備法に基づく第三種空港","5","5","0700","2130","3000","45"
"xaYaTM","sf70","岡南","飛行場/","コウナン","ヒコウジョウ/","岡南飛行場","コウナンヒコウジョウ","岡山県/岡山市","航空施設/空港","34.591389","133.933333","33","33201","その他の公共飛行場","5","5","0830","1830","1200","30"
"f6X3BP","sf71","出雲","空港/","イズモ","クウコウ/","出雲空港","イズモクウコウ","島根県/簸川郡/斐川町","航空施設/空港","35.413611","132.89","32","32401","空港整備法に基づく第三種空港","5","5","0730","2030","2000","45"
"X2VWjS","sf72","広島","空港/","ヒロシマ","クウコウ/","広島空港","ヒロシマクウコウ","広島県/三原市","航空施設/空港","34.436111","132.919444","34","34204","空港整備法に基づく第二種空港","1","1","0730","2130","3000","60"
"EYUP1V","sf73","石見","空港/","イワミ","クウコウ/","石見空港","イワミクウコウ","島根県/益田市","航空施設/空港","34.676389","131.790278","32","32204","空港整備法に基づく第三種空港","5","5","0800","1930","2000","45"
"mUTHJY","sf74","山口宇部","空港/","ヤマグチウベ","クウコウ/","山口宇部空港","ヤマグチウベクウコウ","山口県/宇部市","航空施設/空港","33.93","131.278611","35","35202","空港整備法に基づく第二種空港","1","5","0730","2130","2500","45"
"4QSAs1","sf75","福岡","空港/","フクオカ","クウコウ/","福岡空港","フクオカクウコウ","福岡県/福岡市/博多区","航空施設/空港","33.584444","130.451667","40","40132","空港整備法に基づく第二種空港","1","1","0000","2400","2800","60"
"MMRta4","sf76","佐賀","空港/","サガ","クウコウ/","佐賀空港","サガクウコウ","佐賀県/佐賀郡/川副町","航空施設/空港","33.149722","130.302222","41","41302","空港整備法に基づく第三種空港","5","5","0630","2100","2000","45"
"uIQlS7","sf77","徳之島","空港/","トクノシマ","クウコウ/","徳之島空港","トクノシマクウコウ","鹿児島県/大島郡/天城町","航空施設/空港","27.836389","128.881389","46","46531","空港整備法に基づく第三種空港","5","5","0830","1830","2000","45"
"cEPeAa","sf78","喜界","空港/","キカイ","クウコウ/","喜界空港","キカイクウコウ","鹿児島県/大島郡/喜界町","航空施設/空港","28.321389","129.928056","46","46529","空港整備法に基づく第三種空港","5","5","0830","1830","1200","30"
"UAO7id","sf79","慶良間","空港/","ケイリョウカン","クウコウ/","慶良間空港","ケイリョウカンクウコウ","沖縄県/島尻郡/座間味村","航空施設/空港","26.168333","127.293333","47","47354","空港整備法に基づく第三種空港","5","5","0800","1800","800","25"
"CwN00g","sf80","那覇","空港/","ナハ","クウコウ/","那覇空港","ナハクウコウ","沖縄県/那覇市","航空施設/空港","26.195833","127.645833","47","47201","空港整備法に基づく第二種空港","1","1","0000","2400","3000","45"
"ksLSIj","sf81","粟国","空港/","アグニ","クウコウ/","粟国空港","アグニクウコウ","沖縄県/島尻郡/粟国村","航空施設/空港","26.592778","127.240278","47","47355","空港整備法に基づく第三種空港","5","5","0800","1800","800","25"
"2oKLqm","sf82","静岡","空港/","シズオカ","クウコウ/","静岡空港","シズオカクウコウ","静岡県/牧之原市","航空施設/空港","34.796111","138.189444","22","22226","空港整備法に基づく第三種空港","5","5","0730","2030","2500","60"
"KkJE8p","sf83","関西","国際空港/","カンサイ","コクサイクウコウ/","関西国際空港","カンサイコクサイクウコウ","大阪府/泉南郡/田尻町","航空施設/空港","34.434167","135.232778","27","27362","空港整備法に基づく第一種空港","4","4","0000","2400","4000","60"
"sgIwQs","sf84","中部","国際空港/","チュウブ","コクサイクウコウ/","中部国際空港","チュウブコクサイクウコウ","愛知県/常滑市","航空施設/空港","34.858333","136.805278","23","23216","空港整備法に基づく第一種空港","4","4","0000","2400","3500","60"
"acHpyv","sf85","大分","空港/","オオイタ","クウコウ/","大分空港","オオイタクウコウ","大分県/国東市","航空施設/空港","33.479444","131.737222","44","44214","空港整備法に基づく第二種空港","1","1","0730","2130","3000","45"
"S8Gigy","sf86","神戸","空港/","コウベ","クウコウ/","神戸空港","コウベクウコウ","兵庫県/神戸市/中央区","航空施設/空港","34.632778","135.223889","28","28110","空港整備法に基づく第三種空港","6","6","0700","2200","2500","60"
"A4FaYB","sf87","奄美","空港/","アマミ","クウコウ/","奄美空港","アマミクウコウ","鹿児島県/奄美市","航空施設/空港","28.430833","129.7125","46","46222","空港整備法に基づく第三種空港","5","5","0800","1930","2000","45"
"i0E3GE","sf88","上五島","空港/","カミゴトウ","クウコウ/","上五島空港","カミゴトウクウコウ","長崎県/南松浦郡/新上五島町","航空施設/空港","33.013611","129.1925","42","42411","空港整備法に基づく第三種空港","5","5","1000","1600","800","25"
"ZWCWoH","sf89","小値賀","空港/","オジカ","クウコウ/","小値賀空港","オジカクウコウ","長崎県/北松浦郡/小値賀町","航空施設/空港","33.190833","129.090278","42","42383","空港整備法に基づく第三種空港","5","5","1000","1600","800","25"
"HSBP6K","sf90","成田","国際空港/","ナリタ","コクサイクウコウ/","成田国際空港","ナリタコクサイクウコウ","千葉県/成田市","航空施設/空港","35.764722","140.386389","12","12211","空港整備法に基づく第一種空港","4","4","0000","2400","2500","60"
"pOAHON","sf91","東京","国際空港/","トウキョウ","コクサイクウコウ/","東京国際空港","トウキョウコクサイクウコウ","東京都/大田区","航空施設/空港","35.553333","139.781111","13","13111","空港整備法に基づく第一種空港","1","1","0000","2400","2500","60"
"7KzAwQ","sf92","美保","飛行場/","ミホ","ヒコウジョウ/","美保飛行場","ミホヒコウジョウ","鳥取県/境港市","航空施設/空港","35.492222","133.236389","31","31204","自衛隊、米軍との共用飛行場","2","2","0700","2200","2000","45"
"PGyteT","sf93","稚内","空港/","ワッカナイ","クウコウ/","稚内空港","ワッカナイクウコウ","北海道/稚内市","航空施設/空港","45.404167","141.800833","01","01214","空港整備法に基づく第二種空港","1","1","0830","1830","2200","45"
"xCxlWW","sf94","新石垣","空港/","シンイシガキ","クウコウ/","新石垣空港","シンイシガキクウコウ","沖縄県/石垣市","航空施設/空港","24.39638888","124.245","47","47207","空港整備法に基づく第三種空港","5","5","0800","2100","2000","45"
"fyweEZ","sf95","岩国","飛行場/","イワクニ","ヒコウジョウ/","岩国飛行場","イワクニヒコウジョウ","山口県/岩国市","航空施設/空港","34.144804","132.246954","35","35208"," 自衛隊、米軍との共用飛行場","3","3","0700","2200","2440","60"
"Xuv7n2","sf96","奥尻","空港/","オクシリ","クウコウ/","奥尻空港","オクシリクウコウ","北海道/奥尻郡/奥尻町","航空施設/空港","42.071667","139.432778","01","01367","空港整備法に基づく第三種空港","5","5","0900","1700","1500","45"
